home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,home_days_passed,away_days_passed,HOME_WINS,GAME_DATE_EST
2,-3.8,-2.4,0.4,0.8253999999999999,0.4598,0.36619999999999997,1,-4.4,-1.6,-4.8,0.66,0.4182,0.3292,2.0,2.0,0,2003-11-17
2,-1.2,5.6,-0.8,0.7582,0.44699999999999995,0.3278,0,-11.4,-6.6,-3.4,0.6782,0.4258,0.3976,2.0,2.0,1,2003-11-17
3,-0.2,-4.2,3.8,0.737,0.426,0.32680000000000003,3,3.4,-2.2,-2.4,0.7656,0.4958,0.44420000000000004,3.0,3.0,0,2003-11-18
3,3.2,7.0,4.2,0.7121999999999999,0.44140000000000007,0.2934,4,0.8,1.8,-0.4,0.7958000000000001,0.44499999999999995,0.3686,3.0,3.0,1,2003-11-18
3,6.2,3.8,3.2,0.7378,0.4384,0.42140000000000005,3,0.4,-0.6,-4.8,0.7352000000000001,0.38480000000000003,0.37320000000000003,4.0,4.0,1,2003-11-18
2,2.0,-0.8,-2.2,0.8061999999999999,0.42699999999999994,0.2822,3,2.6,0.6,1.4,0.6922,0.4474,0.23299999999999996,3.0,2.0,1,2003-11-18
3,8.0,6.0,2.0,0.765,0.4056,0.31399999999999995,2,-0.6,-1.4,0.6,0.7098,0.4544,0.2884,3.0,2.0,1,2003-11-18
3,2.6,-2.2,-0.4,0.7758,0.43759999999999993,0.31920000000000004,2,-4.2,-4.2,0.4,0.8426,0.4568,0.39239999999999997,3.0,1.0,0,2003-11-18
2,-1.6,5.6,-0.8,0.787,0.44819999999999993,0.2748,2,-1.8,0.6,-1.6,0.7474000000000001,0.48460000000000003,0.44580000000000003,3.0,3.0,1,2003-11-18
3,-3.6,-3.4,-1.6,0.7588,0.4328,0.38699999999999996,2,-8.4,2.2,-3.4,0.6786,0.383,0.26959999999999995,3.0,2.0,0,2003-11-18
4,6.8,0.6,2.2,0.7512000000000001,0.43079999999999996,0.45119999999999993,4,3.0,2.6,0.6,0.798,0.42799999999999994,0.39899999999999997,4.0,1.0,1,2003-11-19
3,-3.4,4.0,-2.0,0.7918000000000001,0.44139999999999996,0.3566,3,-5.2,6.8,-1.8,0.671,0.4202,0.28200000000000003,2.0,1.0,1,2003-11-19
2,-2.2,9.4,0.0,0.7527999999999999,0.4298,0.1944,3,5.4,1.8,10.8,0.8030000000000002,0.449,0.4184,2.0,3.0,0,2003-11-19
